ID,Module,Contrôle,Portée,Comment vérifier,Critère de réussite,Sévérité,Bloquant
C12,Q2,Format uniforme des dates montants et pourcentages,Tout livrable,"Balayer le document pour repérer les formats concurrents","Un seul format par type de donnée dans l'ensemble du document",MINEUR,NON
C13,Q2,Identification de la version finale,Tout livrable remis,"Vérifier l'indice de version et l'absence d'ambiguïté avec les brouillons","La version remise est identifiable sans équivoque",MAJEUR,OUI
C14,Q2,Absence de mentions de travail résiduelles,Tout livrable remis,"Rechercher les marques de commentaire, les surlignages, les mentions provisoires et les champs à compléter","Aucune trace de travail en cours dans la version remise",BLOQUANT,OUI
C15,Q3,Rattachement de chaque chiffre à une source,Tout livrable chiffré,"Extraire les chiffres du livrable et associer chacun à sa pièce et à sa date","Aucun chiffre orphelin",BLOQUANT,OUI
C16,Q3,Qualification du niveau de la source,Tout livrable chiffré,"Classer chaque source: audité, examen, avis au lecteur, interne, déclaré par le promoteur, estimé","Le niveau est déclaré pour chaque source et le livrable ne présente pas un chiffre déclaré comme s'il était vérifié",BLOQUANT,OUI
C17,Q3,Millésime des données externes,Données sectorielles et territoriales,"Vérifier la présence de la date de référence de chaque donnée externe","Chaque donnée externe porte son millésime",MAJEUR,OUI
C18,Q3,Paramètres de politique tirés du document en vigueur,Dossier de financement,"Comparer chaque paramètre utilisé avec parametres-politique.csv et son statut","Aucun paramètre au statut A_VALIDER n'alimente un chiffre présenté sans signalement explicite",BLOQUANT,OUI
C19,Q3,Confirmation écrite des aides inscrites au montage,Montage financier,"Vérifier la pièce confirmant chaque subvention ou aide inscrite au scénario de base","Toute aide au scénario de base est confirmée par écrit; les autres apparaissent en scénario seulement",BLOQUANT,OUI
C20,Q3,Traçabilité des hypothèses du prévisionnel,Prévisionnel financier,"Vérifier que chaque hypothèse de croissance, de marge et de délai est justifiée et confrontée à l'historique","Chaque hypothèse porte sa justification et sa source",MAJEUR,OUI
C21,Q4,Contrôles amont consignés,Tout livrable remis,"Vérifier la présence des registres de Q1, Q2 et Q3 pour la version remise","Les trois registres existent et portent sur la bonne version",BLOQUANT,OUI
C22,Q4,Présence des annexes annoncées,Tout livrable,"Comparer les annexes citées dans le texte et les annexes réellement jointes","Toute annexe citée est jointe et toute annexe jointe est citée",MAJEUR,OUI
C23,Q4,Verdict explicite et en tête,Note recommandation sommaire,"Lire la première section du livrable","La recommandation ou le verdict apparaît dans les premières lignes, avec le montant et les conditions principales",BLOQUANT,OUI
C24,Q4,Conditions formulées de façon vérifiable,Dossier de financement,"Relire chaque condition et se demander qui constate sa réalisation, avec quelle pièce et à quelle date","Chaque condition nomme la pièce attendue et le moment de sa vérification",BLOQUANT,OUI
C25,Q4,Conformité et dérogations documentées,Dossier de financement,"Vérifier la grille de conformité de P3 et la trace écrite de toute dérogation demandée","Aucune dérogation implicite: chaque écart à la politique est nommé et motivé",BLOQUANT,OUI
C26,Q4,Rendu conforme au canal de diffusion,Tout livrable,"Ouvrir le livrable dans les conditions réelles de diffusion: projection, impression, lecture mobile, envoi externe","Le livrable demeure lisible et complet dans son canal de diffusion",MAJEUR,OUI
C27,Q4,Statut de sortie rendu,Tout livrable remis,"Consigner le statut: prêt, prêt sous réserve, bloqué","Un statut est rendu et daté; aucun livrable ne part sans statut",BLOQUANT,OUI
C28,Q4,Destinataire et usage prévu confirmés,Tout livrable remis,"Confirmer à qui le livrable est destiné et quel usage en sera fait","Le niveau de détail et les restrictions d'usage correspondent au destinataire",MAJEUR,OUI
