ID,Domaine,Module,Objectif,Déclencheurs,Entrées,Méthode,Sorties,Amont,Aval,Gate QA,Pièges
E3,03-EVALUATION,DCF,"Établir la valeur par l'actualisation des flux de trésorerie futurs et réconcilier ce résultat avec l'approche de marché.","DCF; actualisation; flux de trésorerie actualisés; WACC; taux d'actualisation; valeur terminale; valeur intrinsèque","Prévisionnel détaillé sur 3 à 5 ans avec hypothèses documentées; investissements de maintien et de croissance; structure de capital cible; taux sans risque et primes de marché courants","1. Construire le flux de trésorerie disponible par exercice de l'horizon explicite | 2. Documenter chaque hypothèse de croissance et de marge et la confronter à l'historique | 3. Établir le taux d'actualisation: taux sans risque, prime de marché, bêta, prime de taille, prime spécifique | 4. Calculer la valeur terminale par croissance perpétuelle et par multiple de sortie, et comparer les deux | 5. Actualiser les flux et la valeur terminale | 6. Mesurer le poids de la valeur terminale dans la valeur totale | 7. Produire l'analyse de sensibilité croisée taux et croissance, puis réconcilier avec E2","Valeur d'entreprise actualisée; décomposition du taux d'actualisation; table de sensibilité; poids de la valeur terminale; réconciliation avec l'approche de marché","E1;E2","E4","Q1;Q3","Valeur terminale qui représente une part démesurée de la valeur; croissance perpétuelle supérieure à la croissance de l'économie; prévisionnel en crosse de hockey non justifié; incohérence entre flux nominaux et taux réel; bêta emprunté sans ajustement de structure"
E4,03-EVALUATION,rapport-evaluation,"Produire le rapport d'évaluation avec sa portée, ses hypothèses limitatives et la réconciliation des approches menant à la fourchette retenue.","rapport d'évaluation; conclusion de valeur; portée; hypothèses limitatives; réconciliation; juste valeur marchande","Résultats de E1, E2 et E3; mandat et date d'évaluation; niveau de portée convenu; restrictions d'accès à l'information","1. Déclarer la date d'évaluation, la définition de valeur retenue et la portée du mandat | 2. Décrire l'entreprise et le contexte de l'évaluation | 3. Présenter les approches retenues et écartées avec motifs | 4. Réconcilier les résultats des approches et pondérer explicitement | 5. Conclure sur une fourchette et un point médian si requis | 6. Énoncer les hypothèses limitatives et les restrictions | 7. Annexer les tableaux de calcul et les sources","Rapport d'évaluation structuré; fourchette de valeur conclue; hypothèses limitatives; annexes de calcul","E1;E2;E3","R2;R3","Q1;Q2;Q3;Q4","Conclure sans déclarer la portée; pondérer les approches sans justification; présenter une valeur au dollar près; omettre les restrictions d'information; réutiliser une évaluation à une date différente sans mise à jour"
D1,04-DEVELOPPEMENT-ECONOMIQUE,programmes-subventions,"Cartographier les programmes et aides mobilisables pour un projet, vérifier le cumul et séquencer les dépôts.","subvention; programme; aide financière; cumul des aides; financement non dilutif; guichet; crédit d'impôt","Description du projet et de ses dépenses; taille et secteur de l'entreprise; localisation; échéancier du projet; aides déjà obtenues","1. Qualifier le projet par nature (investissement, innovation, main-d'oeuvre, exportation, transition, relève) | 2. Balayer les guichets par palier: fédéral, provincial, régional, local | 3. Vérifier les critères d'admissibilité et les dates limites de chaque programme | 4. Vérifier les règles de cumul des aides publiques et le plafond global | 5. Vérifier la règle de non-substitution avec le financement du fonds local | 6. Séquencer les dépôts selon les délais de traitement et l'antériorité des dépenses | 7. Documenter le statut de chaque demande et son degré de certitude","Cartographie des programmes applicables; plafond de cumul calculé; séquence de dépôt; statut et certitude de chaque aide","P1","F2;D2;R2","Q3;Q4","Inscrire une subvention non confirmée dans le montage; dépasser le plafond de cumul; engager des dépenses avant l'accusé de réception; ignorer une date limite; présumer de l'admissibilité sans lire les critères courants"
D2,04-DEVELOPPEMENT-ECONOMIQUE,analyse-sectorielle,"Situer l'entreprise dans son secteur: structure, chaîne de valeur, facteurs de succès et repères de performance.","analyse sectorielle; secteur; industrie; concurrence; chaîne de valeur; benchmark; tendances du marché","Code SCIAN et description des activités; clientèle et zone de marché; principaux concurrents; sources sectorielles disponibles","1. Délimiter le secteur et le marché pertinent (géographique et produit) | 2. Décrire la structure du secteur et sa concentration | 3. Cartographier la chaîne de valeur et la position de l'entreprise | 4. Identifier les facteurs clés de succès et les barrières à l'entrée | 5. Situer le secteur dans son cycle et nommer les vents porteurs et contraires | 6. Établir les repères de performance sectoriels utilisables pour F1 | 7. Traduire les constats en risques pour F4","Portrait du secteur; position concurrentielle; repères de performance; risques sectoriels transmis à F4","","F1;F4;D3;R2","Q3","Confondre le secteur et le marché pertinent; utiliser des repères nationaux pour une entreprise locale sans nuance; citer une tendance sans source ni date; ignorer la substitution hors secteur"
D3,04-DEVELOPPEMENT-ECONOMIQUE,intelligence-territoriale,"Produire la lecture stratégique du territoire: tissu économique, main-d'oeuvre, foncier, filières et retombées attendues.","territoire; MRC; profil territorial; main-d'oeuvre; parc industriel; filière; retombées économiques; diagnostic territorial","Données socio-économiques du territoire; inventaire du foncier industriel disponible; portrait de la main-d'oeuvre; portefeuille de projets en cours","1. Établir le profil socio-économique du territoire et sa trajectoire | 2. Cartographier les filières présentes et leurs interdépendances | 3. Analyser la disponibilité et l'adéquation de la main-d'oeuvre | 4. Inventorier le foncier et les infrastructures disponibles | 5. Identifier les maillons manquants et les occasions de démarchage | 6. Estimer les retombées attendues d'un projet (emplois, investissement, assiette fiscale) | 7. Prioriser les interventions selon l'effet de levier territorial","Profil territorial; carte des filières; contraintes de main-d'oeuvre et de foncier; occasions priorisées; retombées estimées","D2","D1;R2;R3","Q3;Q4","Présenter des données territoriales sans millésime; estimer des retombées sans méthode déclarée; additionner des emplois directs et indirects sans le préciser; extrapoler une tendance provinciale au territoire"
R1,05-PRODUCTION,ui-ux-pro-max,"Produire l'artefact visuel ou interactif du livrable en s'appuyant sur le moteur de design du dépôt et sur l'identité visuelle du DÉPS.","tableau de bord; calculateur; outil interactif; artefact HTML; visualisation; interface; graphique; mise en page","Contenu validé du livrable; type d'artefact visé; contraintes de diffusion (écran, PDF, impression); identité visuelle applicable","1. Interroger le moteur de design du dépôt pour le type de produit visé | 2. Générer ou récupérer le système de design (style, couleurs, typographie, effets) | 3. Appliquer l'identité visuelle institutionnelle par-dessus les jetons génériques | 4. Choisir les visualisations selon le message analytique et non selon l'esthétique | 5. Vérifier l'accessibilité: contraste, navigation clavier, tailles de cible | 6. Vérifier le rendu en impression et en mode sombre le cas échéant | 7. Livrer un artefact autonome sans dépendance réseau non maîtrisée","Artefact visuel autonome; système de design appliqué; contrôles d'accessibilité passés","P4;E4;R2","R3;Q4","Q2;Q4","Choisir un graphique pour son apparence plutôt que pour son message; texte sous le seuil de contraste; artefact dépendant d'une ressource externe; palette hors identité institutionnelle"
R2,05-PRODUCTION,rapport-executif,"Condenser une analyse complète en une page de décision: verdict d'abord, chiffres porteurs ensuite, développement après.","rapport exécutif; sommaire exécutif; une page; synthèse; note de synthèse; bottom line","Analyse complète validée; décision demandée; auditoire visé et son niveau de connaissance du dossier","1. Formuler le verdict en une phrase et le placer en première ligne | 2. Sélectionner les trois à cinq chiffres qui portent la décision | 3. Écrire le raisonnement en trois blocs maximum | 4. Nommer explicitement ce qui pourrait faire échouer la recommandation | 5. Terminer par la demande précise faite au lecteur | 6. Retirer tout contenu qui ne change pas la décision | 7. Vérifier que chaque chiffre du sommaire correspond au dossier complet","Sommaire exécutif d'une page; verdict; chiffres porteurs; demande explicite","F1;F3;F4;P4;E4;D3","R1;R3","Q1;Q2;Q3;Q4","Enterrer le verdict en conclusion; recopier le dossier au lieu de le condenser; chiffres du sommaire qui divergent du dossier; omettre la demande faite au lecteur"
R3,05-PRODUCTION,presentation-CA,"Monter le support de présentation destiné au conseil, au comité ou aux partenaires, calibré pour une décision en séance.","présentation; deck; diapositives; conseil d'administration; CA; support visuel; présenter au comité; partenaires","Livrable analytique validé; durée allouée en séance; composition de l'auditoire; décision recherchée","1. Établir le fil décisionnel: ce qui est demandé et pourquoi maintenant | 2. Une idée par diapositive et un titre qui énonce la conclusion | 3. Placer la recommandation dans les trois premières diapositives | 4. Convertir les tableaux denses en visuels lisibles à distance | 5. Prévoir les diapositives d'annexe pour les questions attendues | 6. Chronométrer le déroulé par rapport au temps alloué | 7. Vérifier la lisibilité en projection et en version imprimée","Support de présentation; déroulé chronométré; annexes de réponse aux questions attendues","P4;E4;R2;D3","R1;Q4","Q2;Q4","Titres descriptifs au lieu de titres-conclusions; tableaux illisibles en projection; recommandation en fin de deck; support plus long que le temps alloué"
Q1,06-QA,controle-calculs,"Recalculer indépendamment les chiffres porteurs et vérifier la cohérence arithmétique et inter-documents du livrable.","contrôle des calculs; vérification; recalcul; cohérence; les chiffres sont-ils bons; audit interne du livrable","Livrable à contrôler; fichiers de calcul sous-jacents; sources primaires des données d'entrée","1. Recalculer indépendamment chaque chiffre porteur sans reprendre la formule d'origine | 2. Vérifier que chaque total est la somme de ses composantes | 3. Vérifier que le tableau Sources et Emplois balance | 4. Vérifier la cohérence d'un même chiffre entre tous les documents du dossier | 5. Contrôler les unités, les milliers, les pourcentages et les périodes | 6. Vérifier les arrondis et l'absence de faux précis | 7. Consigner chaque écart trouvé et le faire corriger à la source","Registre des contrôles effectués; écarts détectés et leur résolution; statut de conformité arithmétique","F1;F2;F3;E1;E2;E3","Q4","","Refaire le calcul avec la même formule erronée; vérifier le livrable et non la source; laisser un écart mineur non expliqué; présenter des décimales que la donnée d'entrée ne supporte pas"
Q2,06-QA,nomenclature,"Faire respecter les conventions de nommage, de versionnage et de terminologie sur tous les livrables du dossier.","nomenclature; nommage; convention; terminologie; version; comment nommer le fichier; vocabulaire normalisé","Livrables du dossier; conventions de nommage en vigueur; lexique normalisé de l'organisation","1. Appliquer le patron de nommage de fichier retenu pour le type de livrable | 2. Vérifier la cohérence de la raison sociale exacte de l'entreprise partout | 3. Uniformiser les acronymes et les développer à leur première occurrence | 4. Vérifier le format des dates, des montants et des pourcentages | 5. Appliquer le versionnage et identifier clairement la version finale | 6. Vérifier les titres et les en-têtes des documents et des annexes | 7. Contrôler l'absence de mentions de travail résiduelles dans le livrable final","Livrables renommés conformément; lexique appliqué; version finale identifiée","P4;E4;R1;R2;R3","Q4","","Raison sociale approximative; acronyme jamais développé; deux formats de date dans le même document; fichier final indistinguable des brouillons; mention de travail oubliée dans la version remise"
Q3,06-QA,validation-sources,"Garantir que chaque chiffre et chaque affirmation du livrable est rattaché à une source identifiable, datée et de niveau connu.","validation des sources; traçabilité; d'où vient ce chiffre; sources; référencement; chiffre orphelin","Livrable à valider; pièces au dossier; correspondance avec le promoteur; sources externes citées","1. Extraire tous les chiffres et affirmations factuelles du livrable | 2. Rattacher chacun à sa pièce source avec sa date | 3. Qualifier le niveau de la source: audité, examiné, interne, déclaré, estimé | 4. Marquer tout chiffre sans source comme orphelin et le faire sourcer ou retirer | 5. Vérifier que les paramètres de politique utilisés proviennent du document en vigueur | 6. Signaler tout paramètre au statut non validé qui alimente un chiffre présenté | 7. Produire le registre des sources annexable au dossier","Registre des sources; chiffres orphelins signalés; paramètres non validés signalés; niveau de fiabilité déclaré","Tous","Q4","","Citer une source sans date; qualifier de vérifié un chiffre simplement déclaré par le promoteur; utiliser un paramètre de politique de mémoire; laisser un chiffre orphelin dans un livrable remis"
Q4,06-QA,preflight-final,"Barrière de sortie: aucun livrable ne quitte l'organisation sans avoir passé la totalité des contrôles applicables.","préflight; avant de remettre; vérification finale; prêt à envoyer; contrôle final; gate de sortie","Livrable final; résultats de Q1, Q2 et Q3; destinataire et usage prévu du livrable","1. Confirmer que les contrôles Q1, Q2 et Q3 sont passés et consignés | 2. Vérifier la présence des pièces annexes annoncées dans le texte | 3. Vérifier que le verdict ou la recommandation est explicite et en tête | 4. Vérifier que les conditions et les engagements sont formulés de façon vérifiable | 5. Vérifier la conformité aux politiques applicables et la trace des dérogations | 6. Vérifier le rendu final selon le canal de diffusion prévu | 7. Rendre un statut de sortie: prêt, prêt sous réserve, bloqué avec motifs","Statut de sortie; liste des blocages restants; registre de préflight archivable","Q1;Q2;Q3","","","Passer le préflight sur une version qui n'est pas la version remise; déclarer prêt avec des blocages ouverts; sauter le préflight par urgence; contrôler la forme sans contrôler le fond"
